id,date,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
ARG,2020-01-22,NA,325,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,0,0,0,0,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-01-23,NA,326,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,2,0,0,11.11,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-01-24,NA,NA,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,2,0,0,11.11,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-01-25,NA,NA,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,2,0,0,11.11,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-01-26,NA,327,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,2,0,0,11.11,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-01-27,NA,344,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,2,0,0,11.11,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-01-28,NA,346,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,2,0,0,11.11,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-01-29,NA,349,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,2,0,0,11.11,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-01-30,NA,367,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,2,0,0,11.11,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
ARG,2020-01-31,NA,369,NA,NA,NA,NA,NA,NA,44494502,0,0,0,0,0,0,0,0,2,0,0,11.11,ARG,AR,32,ARS,1,Argentina,NA,NA,-38.4161,-63.6167,NA,Argentina,AR
