CODE2,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
祇ガ跋絏,め计,计,╧┦计,┦计,戈丁
A6301-01,1039,2604,1241,1363,"109Y12M"
A6301-03,1042,2771,1368,1403,"109Y12M"
A6301-04,1361,3237,1517,1720,"109Y12M"
A6301-06,1257,2899,1359,1540,"109Y12M"
A6301-07,1173,2913,1366,1547,"109Y12M"
A6301-08,1077,2634,1231,1403,"109Y12M"
A6301-09,1065,2913,1393,1520,"109Y12M"
A6301-10,1140,2901,1358,1543,"109Y12M"
A6301-11,1108,2761,1275,1486,"109Y12M"
A6301-12,1031,2680,1247,1433,"109Y12M"
A6301-13,1205,2953,1364,1589,"109Y12M"
A6301-14,1144,2952,1333,1619,"109Y12M"
A6301-15,1136,2795,1272,1523,"109Y12M"
A6301-16,1185,2888,1371,1517,"109Y12M"
A6301-17,1340,3095,1401,1694,"109Y12M"
A6301-18,1131,2933,1338,1595,"109Y12M"
A6301-19,1395,3031,1282,1749,"109Y12M"
A6301-20,1096,2826,1297,1529,"109Y12M"
A6301-21,1122,2736,1267,1469,"109Y12M"
A6301-22,973,2545,1207,1338,"109Y12M"
A6301-23,1046,2714,1292,1422,"109Y12M"
A6301-24,972,2616,1228,1388,"109Y12M"
A6301-25,1264,3190,1473,1717,"109Y12M"
A6301-26,1078,2713,1233,1480,"109Y12M"
A6301-27,1205,3017,1428,1589,"109Y12M"
A6301-28,1076,2711,1220,1491,"109Y12M"
A6301-29,1078,2546,1146,1400,"109Y12M"
A6301-30,984,2717,1286,1431,"109Y12M"
A6301-31,904,2159,1051,1108,"109Y12M"
A6301-32,1234,3070,1386,1684,"109Y12M"
A6301-33,1059,2668,1226,1442,"109Y12M"
A6301-34,1389,3696,1765,1931,"109Y12M"
A6301-35,892,2363,1089,1274,"109Y12M"
A6301-36,1423,3459,1638,1821,"109Y12M"
A6301-37,1053,2625,1184,1441,"109Y12M"
A6301-38,1245,2848,1363,1485,"109Y12M"
A6301-39,1005,2596,1227,1369,"109Y12M"
A6301-40,973,2521,1176,1345,"109Y12M"
A6301-41,1125,2827,1346,1481,"109Y12M"
A6301-42,1156,2770,1273,1497,"109Y12M"
A6301-43,1064,2770,1289,1481,"109Y12M"
A6301-44,1104,2516,1150,1366,"109Y12M"
A6301-45,1186,2863,1394,1469,"109Y12M"
A6301-46,1135,2571,1228,1343,"109Y12M"
A6301-47,1362,2971,1384,1587,"109Y12M"
A6301-48,1060,2416,1139,1277,"109Y12M"
A6301-49,971,2417,1127,1290,"109Y12M"
A6301-50,1144,2458,1187,1271,"109Y12M"
A6301-51,1001,2444,1122,1322,"109Y12M"
A6301-52,1314,2886,1326,1560,"109Y12M"
A6301-53,1981,3194,1642,1552,"109Y12M"
A6301-54,1089,2519,1141,1378,"109Y12M"
A6301-55,1006,2546,1170,1376,"109Y12M"
A6301-56,981,2588,1179,1409,"109Y12M"
A6301-57,1314,3625,1678,1947,"109Y12M"
A6301-58,907,2477,1190,1287,"109Y12M"
A6301-59,1038,2645,1217,1428,"109Y12M"
A6301-60,1152,2878,1353,1525,"109Y12M"
A6301-61,1062,2546,1183,1363,"109Y12M"
A6301-62,1105,2662,1224,1438,"109Y12M"
A6301-63,963,2284,1086,1198,"109Y12M"
A6301-64,886,2235,1055,1180,"109Y12M"
A6301-65,1199,3072,1409,1663,"109Y12M"
A6301-66,1046,2609,1196,1413,"109Y12M"
A6301-67,1042,2766,1314,1452,"109Y12M"
A6301-68,921,2647,1253,1394,"109Y12M"
A6301-69,822,2183,1034,1149,"109Y12M"
A6301-70,985,2581,1223,1358,"109Y12M"
A6301-71,926,2234,1047,1187,"109Y12M"
A6301-72,861,2321,1091,1230,"109Y12M"
A6301-73,1081,2906,1387,1519,"109Y12M"
A6301-74,1021,2795,1347,1448,"109Y12M"
A6301-75,1016,2750,1281,1469,"109Y12M"
A6302-01,1134,2979,1517,1462,"109Y12M"
A6302-02,1240,2987,1468,1519,"109Y12M"
A6302-03,925,2332,1082,1250,"109Y12M"
A6302-04,1039,2747,1322,1425,"109Y12M"
A6302-05,1017,2472,1205,1267,"109Y12M"
A6302-06,1110,2783,1347,1436,"109Y12M"
A6302-07,1070,2626,1285,1341,"109Y12M"
A6302-08,1037,2453,1143,1310,"109Y12M"
A6302-09,1078,2648,1255,1393,"109Y12M"
A6302-10,962,2434,1160,1274,"109Y12M"
A6302-11,1506,3184,1424,1760,"109Y12M"
A6302-12,1035,2621,1253,1368,"109Y12M"
A6302-13,1096,2770,1301,1469,"109Y12M"
A6302-14,1127,2626,1259,1367,"109Y12M"
A6302-15,1031,2735,1307,1428,"109Y12M"
A6302-16,1088,2660,1307,1353,"109Y12M"
A6302-17,1041,2628,1278,1350,"109Y12M"
A6302-18,1027,2503,1212,1291,"109Y12M"
A6302-19,1304,2857,1326,1531,"109Y12M"
A6302-20,1178,2700,1267,1433,"109Y12M"
A6302-21,942,2430,1171,1259,"109Y12M"
A6302-22,1113,2698,1309,1389,"109Y12M"
A6302-23,1142,2704,1263,1441,"109Y12M"
A6302-24,1207,2801,1290,1511,"109Y12M"
A6302-25,1026,2523,1257,1266,"109Y12M"
A6302-26,1069,2991,1457,1534,"109Y12M"
A6302-27,1113,2679,1230,1449,"109Y12M"
A6302-28,1119,2590,1257,1333,"109Y12M"
A6302-29,1081,2721,1300,1421,"109Y12M"
A6302-30,954,2422,1071,1351,"109Y12M"
A6302-31,980,2603,1259,1344,"109Y12M"
A6302-32,832,2127,1026,1101,"109Y12M"
A6302-33,985,2652,1273,1379,"109Y12M"
A6302-34,1050,2719,1248,1471,"109Y12M"
A6302-35,1157,2660,1245,1415,"109Y12M"
A6302-36,1103,2727,1288,1439,"109Y12M"
A6302-37,1091,2902,1345,1557,"109Y12M"
A6302-38,1144,2932,1418,1514,"109Y12M"
A6302-39,1037,2779,1350,1429,"109Y12M"
A6302-40,1078,2651,1231,1420,"109Y12M"
A6302-41,1053,2711,1334,1377,"109Y12M"
A6302-42,1057,2626,1217,1409,"109Y12M"
A6302-43,1794,2923,1631,1292,"109Y12M"
A6302-44,1764,3908,1783,2125,"109Y12M"
A6302-45,1053,2710,1310,1400,"109Y12M"
A6302-46,1210,3186,1477,1709,"109Y12M"
A6302-47,1207,2717,1244,1473,"109Y12M"
A6302-48,1065,2380,1078,1302,"109Y12M"
A6302-49,1168,3240,1558,1682,"109Y12M"
A6302-50,1110,2801,1379,1422,"109Y12M"
A6302-51,1633,3091,1340,1751,"109Y12M"
A6302-52,1016,2572,1195,1377,"109Y12M"
A6302-53,1188,2813,1335,1478,"109Y12M"
A6302-54,1092,2553,1203,1350,"109Y12M"
A6302-55,1232,3023,1413,1610,"109Y12M"
A6302-56,1007,2540,1155,1385,"109Y12M"
A6302-57,1129,2779,1315,1464,"109Y12M"
A6302-58,1109,2771,1333,1438,"109Y12M"
A6302-59,1100,2605,1252,1353,"109Y12M"
A6302-60,1304,2927,1322,1605,"109Y12M"
A6302-61,997,2359,1105,1254,"109Y12M"
A6302-62,1150,2777,1275,1502,"109Y12M"
A6302-63,1140,2652,1266,1386,"109Y12M"
A6302-64,1204,2929,1393,1536,"109Y12M"
A6302-65,1188,2852,1377,1475,"109Y12M"
A6302-66,1174,2764,1319,1445,"109Y12M"
A6302-67,1212,3038,1464,1574,"109Y12M"
A6302-68,1496,3287,1513,1774,"109Y12M"
A6302-69,1107,2688,1290,1398,"109Y12M"
A6302-70,1218,2923,1409,1514,"109Y12M"
A6302-71,1079,2694,1320,1374,"109Y12M"
A6302-72,1139,2791,1319,1472,"109Y12M"
A6302-73,1204,2847,1303,1544,"109Y12M"
A6302-74,1213,2913,1399,1514,"109Y12M"
A6302-75,1183,3045,1443,1602,"109Y12M"
A6302-76,1262,3069,1440,1629,"109Y12M"
A6302-77,1351,3236,1480,1756,"109Y12M"
A6302-78,1063,2411,1140,1271,"109Y12M"
A6303-01,983,2260,1001,1259,"109Y12M"
A6303-02,1056,2733,1274,1459,"109Y12M"
A6303-03,1220,2691,1258,1433,"109Y12M"
A6303-04,1182,2725,1248,1477,"109Y12M"
A6303-05,1327,2875,1268,1607,"109Y12M"
A6303-06,1182,2730,1198,1532,"109Y12M"
A6303-07,1063,2441,1086,1355,"109Y12M"
A6303-08,1163,2862,1334,1528,"109Y12M"
A6303-09,1119,2661,1230,1431,"109Y12M"
A6303-10,1128,2598,1150,1448,"109Y12M"
A6303-11,1295,2890,1337,1553,"109Y12M"
A6303-12,1038,2493,1178,1315,"109Y12M"
A6303-13,1175,2954,1322,1632,"109Y12M"
A6303-14,1046,2597,1179,1418,"109Y12M"
A6303-15,1107,2536,1202,1334,"109Y12M"
A6303-16,1092,2596,1184,1412,"109Y12M"
A6303-17,1039,2580,1136,1444,"109Y12M"
A6303-18,1143,2830,1229,1601,"109Y12M"
A6303-19,1165,2834,1315,1519,"109Y12M"
A6303-20,924,2350,1092,1258,"109Y12M"
A6303-21,988,2692,1216,1476,"109Y12M"
A6303-22,935,2460,1114,1346,"109Y12M"
A6303-23,1213,2850,1330,1520,"109Y12M"
A6303-24,965,2709,1275,1434,"109Y12M"
A6303-25,1161,2837,1314,1523,"109Y12M"
A6303-26,1101,3077,1393,1684,"109Y12M"
A6303-27,1062,2848,1281,1567,"109Y12M"
A6303-28,1164,2792,1296,1496,"109Y12M"
A6303-29,858,2374,1141,1233,"109Y12M"
A6303-30,739,2118,996,1122,"109Y12M"
A6303-31,1160,3027,1410,1617,"109Y12M"
A6303-32,910,2648,1314,1334,"109Y12M"
A6303-33,977,2602,1240,1362,"109Y12M"
A6303-34,1087,2957,1327,1630,"109Y12M"
A6303-35,1200,2929,1375,1554,"109Y12M"
A6303-36,1112,3193,1517,1676,"109Y12M"
A6303-37,1168,2950,1337,1613,"109Y12M"
A6303-38,1051,2761,1209,1552,"109Y12M"
A6303-39,1373,3783,1834,1949,"109Y12M"
A6303-40,1290,3299,1547,1752,"109Y12M"
A6303-41,1133,3206,1485,1721,"109Y12M"
A6303-42,1272,3046,1403,1643,"109Y12M"
A6303-43,1199,3162,1495,1667,"109Y12M"
A6303-44,1160,2982,1447,1535,"109Y12M"
A6303-45,385,1107,543,564,"109Y12M"
A6303-46,1267,2832,1299,1533,"109Y12M"
A6303-47,1310,3080,1377,1703,"109Y12M"
A6303-48,1306,3051,1426,1625,"109Y12M"
A6303-49,1077,2958,1324,1634,"109Y12M"
A6303-50,1186,2784,1271,1513,"109Y12M"
A6303-51,1176,2992,1387,1605,"109Y12M"
A6303-52,1127,2722,1301,1421,"109Y12M"
A6303-53,1241,2953,1359,1594,"109Y12M"
A6303-54,1480,3207,1444,1763,"109Y12M"
A6303-55,1025,2698,1270,1428,"109Y12M"
A6303-56,1182,3318,1591,1727,"109Y12M"
A6303-58,1151,3165,1479,1686,"109Y12M"
A6303-59,2114,3648,1952,1696,"109Y12M"
A6303-60,1170,3096,1470,1626,"109Y12M"
A6303-61,1154,2777,1290,1487,"109Y12M"
A6303-62,1160,2781,1347,1434,"109Y12M"
A6303-63,1214,3018,1392,1626,"109Y12M"
A6303-64,1230,3410,1583,1827,"109Y12M"
A6303-65,1226,2915,1366,1549,"109Y12M"
A6303-66,1256,2966,1387,1579,"109Y12M"
A6303-67,1171,3092,1446,1646,"109Y12M"
A6303-68,1169,3246,1536,1710,"109Y12M"
A6303-69,1071,3010,1426,1584,"109Y12M"
A6303-70,1307,3385,1603,1782,"109Y12M"
A6303-71,1152,3148,1462,1686,"109Y12M"
A6303-72,1218,2837,1217,1620,"109Y12M"
A6303-73,1088,2644,1233,1411,"109Y12M"
A6303-74,1223,2832,1322,1510,"109Y12M"
A6303-75,1202,3201,1514,1687,"109Y12M"
A6303-76,1224,3127,1445,1682,"109Y12M"
A6303-77,1319,3068,1405,1663,"109Y12M"
A6303-78,1342,3186,1485,1701,"109Y12M"
A6303-79,1287,3077,1445,1632,"109Y12M"
A6303-80,1166,2694,1251,1443,"109Y12M"
A6303-81,1104,2843,1322,1521,"109Y12M"
A6303-82,1371,3174,1414,1760,"109Y12M"
A6303-83,1229,3053,1433,1620,"109Y12M"
A6303-84,1096,3068,1411,1657,"109Y12M"
A6303-85,1094,2908,1344,1564,"109Y12M"
A6303-86,965,2790,1312,1478,"109Y12M"
A6303-87,1024,2851,1380,1471,"109Y12M"
A6303-88,908,2595,1234,1361,"109Y12M"
A6303-89,1187,2904,1382,1522,"109Y12M"
A6303-90,1347,3188,1478,1710,"109Y12M"
A6303-91,1270,2847,1299,1548,"109Y12M"
A6303-92,894,2574,1233,1341,"109Y12M"
A6303-93,1159,2886,1366,1520,"109Y12M"
A6303-94,1335,3331,1537,1794,"109Y12M"
A6303-95,1251,2981,1382,1599,"109Y12M"
A6303-96,1271,3177,1469,1708,"109Y12M"
A6303-97,1159,2884,1344,1540,"109Y12M"
A6303-98,1219,3045,1458,1587,"109Y12M"
A6303-99,1116,2719,1228,1491,"109Y12M"
A6303-A0,1150,2990,1470,1520,"109Y12M"
A6303-A1,1209,2934,1388,1546,"109Y12M"
A6303-A2,1028,2747,1278,1469,"109Y12M"
A6303-A3,1293,3115,1468,1647,"109Y12M"
A6303-A4,1330,3099,1462,1637,"109Y12M"
A6303-A5,110,291,135,156,"109Y12M"
A6303-A6,1034,2663,1298,1365,"109Y12M"
A6303-A7,921,2387,1175,1212,"109Y12M"
A6304-01,1023,2670,1266,1404,"109Y12M"
A6304-02,1075,2714,1303,1411,"109Y12M"
A6304-03,1083,2850,1360,1490,"109Y12M"
A6304-04,1103,2971,1376,1595,"109Y12M"
A6304-05,1024,2769,1283,1486,"109Y12M"
A6304-06,1154,3072,1443,1629,"109Y12M"
A6304-07,2396,5145,2400,2745,"109Y12M"
A6304-08,1058,2712,1302,1410,"109Y12M"
A6304-09,1173,2960,1362,1598,"109Y12M"
A6304-10,1115,2895,1339,1556,"109Y12M"
A6304-11,1208,3003,1369,1634,"109Y12M"
A6304-12,1468,3550,1679,1871,"109Y12M"
A6304-13,1322,3140,1513,1627,"109Y12M"
A6304-15,1042,2576,1296,1280,"109Y12M"
A6304-16,1592,3464,1557,1907,"109Y12M"
A6304-17,1139,2838,1318,1520,"109Y12M"
A6304-18,1218,3283,1573,1710,"109Y12M"
A6304-19,1117,2859,1354,1505,"109Y12M"
A6304-20,1150,2997,1428,1569,"109Y12M"
A6304-21,1506,3326,1552,1774,"109Y12M"
A6304-22,1764,3362,1494,1868,"109Y12M"
A6304-23,1127,3005,1432,1573,"109Y12M"
A6304-24,939,2319,1121,1198,"109Y12M"
A6304-25,1016,2373,1107,1266,"109Y12M"
A6304-26,1259,2868,1297,1571,"109Y12M"
A6304-27,1325,3161,1497,1664,"109Y12M"
A6304-28,1208,3024,1411,1613,"109Y12M"
A6304-29,1505,2836,1209,1627,"109Y12M"
A6304-30,2149,3864,1704,2160,"109Y12M"
A6304-31,1928,2673,1550,1123,"109Y12M"
A6304-32,2162,4105,1732,2373,"109Y12M"
A6304-33,1297,3112,1453,1659,"109Y12M"
A6304-34,1375,3098,1456,1642,"109Y12M"
A6304-35,1406,2756,1247,1509,"109Y12M"
A6304-36,1002,2352,1108,1244,"109Y12M"
A6304-37,1098,2464,1144,1320,"109Y12M"
A6304-38,1220,2926,1402,1524,"109Y12M"
A6304-39,1032,2346,1083,1263,"109Y12M"
A6304-40,1157,2957,1416,1541,"109Y12M"
A6304-41,1349,2414,1064,1350,"109Y12M"
A6304-42,1302,3316,1595,1721,"109Y12M"
A6304-43,1249,2868,1337,1531,"109Y12M"
A6304-44,1254,3181,1450,1731,"109Y12M"
A6304-45,1135,2503,1173,1330,"109Y12M"
A6304-46,1151,2893,1349,1544,"109Y12M"
A6304-47,821,2013,938,1075,"109Y12M"
A6304-48,1677,2917,1282,1635,"109Y12M"
A6304-49,1167,2451,1175,1276,"109Y12M"
A6304-50,1181,2830,1369,1461,"109Y12M"
A6304-51,1234,2785,1290,1495,"109Y12M"
A6304-52,1114,2693,1246,1447,"109Y12M"
A6304-53,2271,3840,1601,2239,"109Y12M"
A6304-54,1113,2748,1279,1469,"109Y12M"
A6304-55,1239,2853,1330,1523,"109Y12M"
A6304-56,1200,2714,1252,1462,"109Y12M"
A6304-57,1119,2649,1171,1478,"109Y12M"
A6304-58,1563,2819,1207,1612,"109Y12M"
A6304-59,1227,2641,1238,1403,"109Y12M"
A6304-60,1186,2625,1211,1414,"109Y12M"
A6304-61,1364,3054,1446,1608,"109Y12M"
A6304-62,1544,2697,1151,1546,"109Y12M"
A6304-63,1506,3163,1402,1761,"109Y12M"
A6304-64,976,2395,1135,1260,"109Y12M"
A6304-65,1111,2700,1274,1426,"109Y12M"
A6304-66,1805,3233,1383,1850,"109Y12M"
A6304-67,1305,2940,1366,1574,"109Y12M"
A6304-68,875,1856,901,955,"109Y12M"
A6304-69,1247,2520,1122,1398,"109Y12M"
A6304-70,1628,3081,1326,1755,"109Y12M"
A6304-71,1387,2928,1383,1545,"109Y12M"
A6304-72,1672,3243,1460,1783,"109Y12M"
A6304-73,1529,3173,1457,1716,"109Y12M"
A6304-74,1398,3011,1385,1626,"109Y12M"
A6304-75,1146,2525,1131,1394,"109Y12M"
A6304-76,1317,2903,1379,1524,"109Y12M"
A6304-77,1340,2742,1275,1467,"109Y12M"
A6304-78,1199,2634,1273,1361,"109Y12M"
A6305-01,1431,2910,1371,1539,"109Y12M"
A6305-02,1518,3164,1527,1637,"109Y12M"
A6305-03,1309,2929,1360,1569,"109Y12M"
