"","編號","屋齡","建物移轉面積平方公尺","主要用途","主要建材","建築完成日期","總層數","建物分層"
"1","The serial number","room age","building shifting area square meter","the main use","main building materials","construction completes the date","total layer","building lamination"
"2","RPRNMLNKJIOFFAA37CA","39","109.42","住家用","鋼筋混凝土造","69年10月7日","五層","三層"
"3","RPVOMLLKJIOFFBA77CA","26","18.81","共有部分","鋼筋混凝土造","83年3月4日","十層",NA
"4","RPVOMLLKJIOFFBA77CA","26","140.47","住家用","鋼筋混凝土造","83年3月4日","十層","六層"
"5","RPPOMLPJKIOFFAA47CA","36","8.02","共有部分","鋼筋混凝土造","72年8月23日","五層",NA
"6","RPPOMLPJKIOFFAA47CA","36","78.71","住家用","鋼筋混凝土造","72年8月23日","五層","四層"
"7","RPVNMLNKJIOFFAA77CA","24","97.45","住家用","鋼筋混凝土造","84年7月17日","十一層","三層"
"8","RPVNMLNKJIOFFAA77CA","24","39.13","見使用執照","鋼筋混凝土造","84年7月17日","十一層",NA
"9","RPVNMLNKJIOFFAA77CA","24","26.95","見使用執照","鋼筋混凝土造","84年7月17日","十一層",NA
"10","RPTNMLPKJIOFFAA77CA","1","57.06","見其他登記事項","鋼筋混凝土造","107年10月23日","十二層","十層"
"11","RPTNMLPKJIOFFAA77CA","1","23.87","見其他登記事項","鋼筋混凝土造","107年10月23日","十二層",NA
"12","RPTNMLPKJIOFFAA77CA","1","7.76","見其他登記事項","鋼筋混凝土造","107年10月23日","十二層",NA
"13","RPTNMLNJKIOFFAA57CA","50","97.41","住家用","加強磚造","58年7月15日","四層","四層 露台"
"14","RPQNMLPKJIOFFBA57CA","48","86.98","住家用","鋼筋混凝土造","61年3月20日","六層","六層"
"15","RPUOMLOKJIOFFAA87CA","1","143.23","見其他登記事項","鋼筋混凝土造","108年1月24日","十層","一層"
"16","RPUOMLOKJIOFFAA87CA","1","46.36","見其他登記事項","鋼筋混凝土造","108年1月24日","十層",NA
"17","RPUOMLOKJIOFFAA87CA","1","15.20","見其他登記事項","鋼筋混凝土造","108年1月24日","十層",NA
"18","RPWOMLMKJIOFFAA87CA",NA,"109.36",NA,"鋼筋混凝土造",NA,"四層","三層 陽台"
"19","RPRNMLMKJIOFFBA37CA","46","92.02","住家用","鋼筋混凝土造","62年12月10日","四層","三層"
"20","RPROMLMKJIOFFBA47CA","22","11.29","共有部分","鋼筋混凝土造","87年2月12日","十一層",NA
"21","RPROMLMKJIOFFBA47CA","22","8.78","共有部分","鋼筋混凝土造","87年2月12日","十一層",NA
"22","RPROMLMKJIOFFBA47CA","22","74.05","住家用","鋼筋混凝土造","87年2月12日","十一層","三層"
"23","RPQOMLPKJIOFFAA57CA","1","42.72","見其他登記事項","鋼筋混凝土造","108年1月24日","十層","五層"
"24","RPQOMLPKJIOFFAA57CA","1","16.50","見其他登記事項","鋼筋混凝土造","108年1月24日","十層",NA
"25","RPQOMLPKJIOFFAA57CA","1","4.28","見其他登記事項","鋼筋混凝土造","108年1月24日","十層",NA
