COUNTY_ID,COUNTY,MARRY_CP_CNT,MARRY_CNT,MARRY_M_CNT,MARRY_F_CNT,INFO_TIME
縣市代碼,縣市名稱,結婚對數,結婚登記中外(含大陸港澳配偶)聯姻人數,結婚登記中外(含大陸港澳配偶)聯姻男性人數,結婚登記中外(含大陸港澳配偶)聯姻女性人數,資料時間
65000,新北市,6529,580,189,391,"109Y4S"
63000,臺北市,3856,422,207,215,"109Y4S"
68000,桃園市,3986,370,107,263,"109Y4S"
66000,臺中市,4837,381,130,251,"109Y4S"
67000,臺南市,2706,185,57,128,"109Y4S"
64000,高雄市,4139,343,112,231,"109Y4S"
10002,宜蘭縣,725,62,11,51,"109Y4S"
10004,新竹縣,1003,71,13,58,"109Y4S"
10005,苗栗縣,859,75,19,56,"109Y4S"
10007,彰化縣,1882,161,32,129,"109Y4S"
10008,南投縣,688,55,11,44,"109Y4S"
10009,雲林縣,829,78,8,70,"109Y4S"
10010,嘉義縣,629,56,12,44,"109Y4S"
10013,屏東縣,1107,87,16,71,"109Y4S"
10014,臺東縣,325,30,8,22,"109Y4S"
10015,花蓮縣,460,24,10,14,"109Y4S"
10016,澎湖縣,157,11,3,8,"109Y4S"
10017,基隆市,540,48,17,31,"109Y4S"
10018,新竹市,788,67,16,51,"109Y4S"
10020,嘉義市,372,25,7,18,"109Y4S"
09020,金門縣,166,19,6,13,"109Y4S"
09007,連江縣,24,3,2,1,"109Y4S"
