簡章代碼,系所別,組別,報考人數,招生名額,錄取人數,錄取情況,錄取最低分數,錄取率,備取人數,本校最低門檻
101,中國文學系,NA,175,17,17,NA,230,0.097142857142857142,0,160
102,外國語文學系,NA,73,10,10,NA,221.66,0.13698630136986301,3,140
103,歷史學系,NA,127,18,20,同分2,285,0.15748031496062992,0,240
104,哲學系,甲組(主修東方哲學),6,3,2,缺額1,202,0.33333333333333331,0,160
105,哲學系,乙組(主修西方哲學),23,3,3,NA,201,0.13043478260869565,0,160
106,人類學系,NA,29,8,8,NA,334.60000000000002,0.27586206896551724,1,200
107,圖書資訊學系,NA,42,9,9,NA,316,0.21428571428571427,6,200
108,日本語文學系,NA,54,12,12,NA,263.97000000000003,0.22222222222222221,10,160
109,戲劇學系,甲組(主修文本、理論、戲劇史),30,9,7,缺額2,182,0.23333333333333334,0,120
110,戲劇學系,乙組(劇本創作),14,3,1,缺額2,233.66,0.071428571428571425,0,120
111,藝術史研究所,NA,48,8,8,NA,355.69999999999999,0.16666666666666666,3,200
112,語言學研究所,NA,57,5,5,NA,176.34999999999999,0.08771929824561403,1,120
113,音樂學研究所,NA,30,7,7,NA,263.75,0.23333333333333334,3,120
114,臺灣文學研究所,NA,38,7,7,NA,466.69999999999999,0.18421052631578946,2,200
115,華語教學碩士學位學程,NA,159,9,9,NA,282.5,0.056603773584905662,3,160
116,翻譯碩士學位學程,甲組(主修筆譯),94,5,5,NA,300.67000000000002,0.053191489361702128,2,160
117,翻譯碩士學位學程,乙組(主修口譯),105,4,4,NA,319.94999999999999,0.038095238095238099,2,160
201,數學系,甲組,77,14,12,缺額2,135,0.15584415584415584,0,120
202,數學系,乙組,15,5,2,缺額3,120,0.13333333333333333,0,120
203,物理學系,NA,172,35,35,NA,158,0.20348837209302326,22,120
204,化學系,化學組,158,25,26,同分1,129,0.16455696202531644,8,80
205,化學系,化學生物學組,79,5,5,NA,166,0.063291139240506333,3,80
206,地質科學系,地質組,30,5,5,NA,196,0.16666666666666666,3,120
207,地質科學系,應用地質組,28,5,5,NA,211,0.17857142857142858,3,120
208,心理學系,一般心理學甲組,32,6,5,缺額1,124,0.15625,0,120
209,心理學系,一般心理學乙組,32,4,3,缺額1,140,0.09375,0,120
210,心理學系,一般心理學丙組,36,3,4,流用1,160,0.1111111111111111,1,120
211,心理學系,臨床組,188,6,6,NA,183.59999999999999,0.031914893617021274,1,120
212,地理環境資源學系,甲組,54,9,9,NA,152,0.16666666666666666,3,120
213,地理環境資源學系,乙組,21,4,4,NA,121,0.19047619047619047,0,120
214,大氣科學系,甲組,31,5,8,流用3,206,0.25806451612903225,5,120
215,大氣科學系,乙組,3,1,0,缺額1,NA,0,0,120
216,海洋研究所,海洋物理、海洋化學、海洋地質及地球物理組,57,21,22,流用1,179,0.38596491228070173,10,120
217,海洋研究所及漁業科學研究所,海洋生物及漁業組、漁科所,99,22,25,流用3,80,0.25252525252525254,21,80
218,天文物理研究所,NA,4,3,3,NA,121,0.75,0,120
219,應用物理研究所,NA,40,8,8,NA,85,0.20000000000000001,0,80
301,政治學系,甲組(主修政治理論與制度),52,7,7,NA,370,0.13461538461538461,2,240
302,政治學系,乙組(主修國際關係),134,7,7,NA,357,0.052238805970149252,2,240
303,政治學系,丙組(主修公共行政與公共政策),120,7,7,NA,373,0.058333333333333334,2,240
304,經濟學系,NA,373,28,28,NA,156.5,0.075067024128686322,3,140
305,社會學系,NA,58,5,5,NA,191,0.086206896551724144,1,120
306,社會工作學系,NA,101,12,12,NA,151,0.11881188118811881,2,120
307,國家發展研究所,甲組(主修當代臺灣),80,17,13,缺額4,120,0.16250000000000001,0,120
308,國家發展研究所,乙組(主修大陸與兩岸關係),60,16,16,NA,124,0.26666666666666666,0,120
309,國家發展研究所,丙組(主修全球化與發展),67,16,8,缺額8,120,0.11940298507462686,0,120
310,新聞研究所,NA,275,13,14,同分1,267.80000000000001,0.050909090909090911,10,160
401,臨床牙醫學研究所,甲組(口腔病理學),2,3,1,缺額2,244.80000000000001,0.5,0,120
402,臨床牙醫學研究所,乙組(牙體復形及美容牙科學),4,3,4,流用1,226.19999999999999,1,0,120
403,臨床牙醫學研究所,丙組(牙髓病學),6,5,5,NA,228.96000000000001,0.83333333333333337,0,120
404,臨床牙醫學研究所,丁組(牙周病學),6,1,1,NA,222.59999999999999,0.16666666666666666,1,120
405,臨床牙醫學研究所,戊組(補綴學),16,4,4,NA,217.44,0.25,1,120
406,臨床牙醫學研究所,己組(兒童牙科學),6,1,2,流用1,235.19999999999999,0.33333333333333331,1,120
407,臨床牙醫學研究所,庚組(齒顎矯正學),14,2,3,流用1,228.59999999999999,0.21428571428571427,1,120
408,臨床牙醫學研究所,辛組(口腔顎面外科學),2,3,0,缺額3,NA,0,0,120
409,藥學系,NA,53,12,12,NA,143.75,0.22641509433962265,3,80
410,醫學檢驗暨生物技術學系,(一般),40,13,14,流用1,126.25,0.34999999999999998,10,80
411,醫學檢驗暨生物技術學系,(在職),NA,NA,NA,NA,NA,NA,NA,80
412,護理學系,甲組(專科護理師組),13,2,2,NA,215.30000000000001,0.15384615384615385,2,120
413,護理學系,乙組(臨床研究護理師組),9,2,2,NA,186.36000000000001,0.22222222222222221,1,120
414,護理學系,丙組(內外科護理組),37,4,5,流用1,214,0.13513513513513514,2,120
415,護理學系,丁組(婦兒暨心理衛生護理組),21,3,3,NA,208.44,0.14285714285714285,2,120
416,護理學系,戊組(社區護理組),8,3,2,缺額1,195.68000000000001,0.25,0,120
417,物理治療學系,NA,33,6,6,NA,154.5,0.18181818181818182,4,80
418,職能治療學系,NA,34,7,9,同分2,153,0.26470588235294118,4,80
419,生理學研究所,NA,40,9,9,NA,170.84999999999999,0.22500000000000001,3,80
420,生物化學暨分子生物學研究所,NA,189,18,18,NA,92.650000000000006,0.095238095238095233,7,80
421,藥理學研究所,NA,45,10,10,NA,131.16999999999999,0.22222222222222221,5,80
422,病理學研究所,NA,5,2,2,NA,116.90000000000001,0.40000000000000002,1,80
423,微生物學研究所,微生物及免疫學組,128,15,19,流用4,60,0.1484375,10,40
424,微生物學研究所,寄生蟲學組,5,2,4,流用2 1名為甄試缺,90.099999999999994,0.80000000000000004,1,60
425,解剖學暨細胞生物學研究所,NA,19,8,8,NA,134,0.42105263157894735,4,80
426,毒理學研究所,NA,39,4,4,NA,142.90000000000001,0.10256410256410256,5,80
427,分子醫學研究所,NA,54,7,7,NA,119.33,0.12962962962962962,4,80
428,免疫學研究所,NA,30,7,7,NA,187.94999999999999,0.23333333333333334,5,120
429,口腔生物科學研究所,NA,36,12,8,NA,115.2,0.22222222222222221,0,80
430,臨床藥學研究所,NA,40,4,5,流用1,233.5,0.125,1,120
431,法醫學研究所,甲組,8,1,1,NA,314.5,0.125,1,160
432,法醫學研究所,乙組,67,3,3,NA,302,0.044776119402985072,1,160
433,腦與心智科學研究所,NA,31,8,8,NA,189.90000000000001,0.25806451612903225,4,120
501,土木工程學系,大地工程甲組(主修大地工程)一般,57,10,11,流用1,234,0.19298245614035087,8,140
502,土木工程學系,大地工程甲組(主修大地工程)在職,NA,NA,NA,NA,NA,NA,NA,140
503,土木工程學系,結構工程組(一般),171,16,16,NA,254,0.093567251461988299,13,140
504,土木工程學系,結構工程組(在職),NA,NA,NA,NA,NA,NA,NA,140
505,土木工程學系,水利工程組(一般),55,7,8,流用1,211,0.14545454545454545,5,140
506,土木工程學系,水利工程組(在職),NA,NA,NA,NA,NA,NA,NA,140
507,土木工程學系,交通工程組,57,12,15,流用3,192,0.26315789473684209,0,140
508,土木工程學系,營建工程與管理組,26,5,6,流用1,270.5,0.23076923076923078,3,140
509,機械工程學系,固體力學組,116,15,15,NA,183,0.12931034482758622,15,132
510,機械工程學系,設計組,126,15,16,流用1,214.59999999999999,0.12698412698412698,14,132
511,機械工程學系,製造組,70,15,15,NA,147.69999999999999,0.21428571428571427,14,92
512,機械工程學系,流體力學組,80,8,8,NA,198.19999999999999,0.10000000000000001,8,132
513,機械工程學系,熱學組,86,7,7,NA,193.59999999999999,0.081395348837209308,7,132
514,機械工程學系,航空工程組,32,2,2,NA,205,0.0625,2,132
515,機械工程學系,系統控制組,163,14,14,NA,191.19999999999999,0.085889570552147243,14,132
516,化學工程學系,NA,253,31,35,流用1同分3,227,0.13833992094861661,20,140
517,工程科學及海洋工程學系,甲組(主修流體力學、船舶工程、海洋工程),59,5,5,NA,257,0.084745762711864403,5,140
518,工程科學及海洋工程學系,乙組(主修固力結構),29,2,2,NA,224,0.068965517241379309,2,140
519,工程科學及海洋工程學系,丙組(主修光電、機電、電機電子),304,9,9,NA,246,0.029605263157894735,18,140
520,工程科學及海洋工程學系,丁組(主修資訊科技、計算科學）,128,6,6,NA,231,0.046875,8,140
521,材料科學與工程學系,甲組(金屬、製程、陶瓷能源材料),215,10,10,NA,186.75,0.046511627906976744,5,100
522,材料科學與工程學系,乙組(高分子及軟質材料),26,4,4,NA,171.75,0.15384615384615385,0,100
523,材料科學與工程學系,丙組(電子材料),43,4,4,NA,178,0.093023255813953487,3,100
524,環境工程學研究所,環境科學與工程甲組,58,7,7,NA,224,0.1206896551724138,4,140
525,環境工程學研究所,環境科學與工程乙組,64,6,6,NA,220,0.09375,3,140
526,環境工程學研究所,環境科學與工程丙組,9,2,2,NA,194,0.22222222222222221,1,140
527,環境工程學研究所,環境規劃與管理組,20,4,4,NA,204.46000000000001,0.20000000000000001,3,140
528,應用力學研究所,甲組(主修動力學及固體力學),154,23,24,流用1,193,0.15584415584415584,21,140
529,應用力學研究所,乙組(主修流體力學),103,15,16,流用1,197,0.1553398058252427,10,140
530,建築與城鄉研究所,甲組,31,4,4,NA,253.53,0.12903225806451613,2,160
531,建築與城鄉研究所,乙組,20,3,3,NA,256.94999999999999,0.14999999999999999,2,160
532,建築與城鄉研究所,丙組,2,1,1,NA,224.80000000000001,0.5,1,160
533,建築與城鄉研究所,丁組,38,5,5,NA,289.19999999999999,0.13157894736842105,3,160
534,工業工程學研究所,甲組(產業與服務系統工程),121,9,10,同分1,159,0.082644628099173556,12,100
535,工業工程學研究所,乙組(跨領域產業整合創新),119,7,7,NA,211.13,0.058823529411764705,9,100
536,醫學工程學研究所,甲組,31,5,5,NA,214,0.16129032258064516,8,140
537,醫學工程學研究所,乙組,47,4,4,NA,201,0.085106382978723402,10,140
538,醫學工程學研究所,丙組,13,2,2,NA,173,0.15384615384615385,0,140
539,醫學工程學研究所,丁組,24,6,6,NA,149,0.25,0,140
540,醫學工程學研究所,戊組,31,2,2,NA,166,0.064516129032258063,3,140
541,高分子科學與工程學研究所,NA,137,9,9,NA,149,0.06569343065693431,10,100
601,農藝學系,作物科學甲組(主修生理、生物技術、生產管理),37,6,7,流用1,136,0.1891891891891892,1,120
602,農藝學系,作物科學乙組(主修遺傳、分子育種),19,4,5,流用1,182.5,0.26315789473684209,2,120
603,農藝學系,生物統計學甲組(主修試驗統計、生物資訊),6,2,2,NA,99,0.33333333333333331,0,80
604,農藝學系,生物統計學乙組(主修理論統計、生物資訊),25,3,4,流用1,101,0.16,1,80
605,生物環境系統工程學系,甲組,36,12,12,NA,246,0.33333333333333331,7,140
606,生物環境系統工程學系,乙組,5,3,3,NA,164,0.59999999999999998,1,100
607,生物環境系統工程學系,丙組,10,4,4,NA,179,0.40000000000000002,2,140
608,農業化學系,甲組(主修土壤與植物營養學),41,10,10,NA,116,0.24390243902439024,3,80
609,農業化學系,乙組(主修微生物學),23,3,3,NA,110,0.13043478260869565,2,80
610,農業化學系,丙組(主修食品化學與加工),20,2,2,NA,107,0.10000000000000001,2,80
611,森林環境暨資源學系,甲組(主修森林生物、森林環境、森林資源保育及管理),52,18,19,流用1,217,0.36538461538461536,6,160
612,森林環境暨資源學系,乙組(主修生物材料),18,10,5,缺額5,159.5,0.27777777777777779,0,120
613,森林環境暨資源學系,丙組,34,6,7,流用1,193.5,0.20588235294117646,2,120
614,森林環境暨資源學系,丁組,10,3,4,流用1,203.33000000000001,0.40000000000000002,1,120
615,動物科學技術學系,甲組(主修動物科學),25,6,7,流用1,169.5,0.28000000000000003,2,120
616,動物科學技術學系,乙組(主修生產技術),29,5,6,流用1,187,0.20689655172413793,2,120
617,農業經濟學系,NA,186,18,18,NA,331,0.096774193548387094,6,160
618,園藝暨景觀學系,園藝作物甲組,52,17,17,NA,194.5,0.32692307692307693,3,160
619,園藝暨景觀學系,園藝作物乙組,4,3,3,NA,167,0.75,0,160
620,園藝暨景觀學系,園產品處理及利用甲組(主修園產品處理),10,3,3,NA,172,0.29999999999999999,2,160
621,園藝暨景觀學系,園產品處理及利用乙組(主修園產品加工),19,2,2,NA,243.5,0.10526315789473684,3,160
